,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
21,,,205533,0,0,0,0,0,4,0.0,,0,Edward,0.0,22,False,,,60,205533.jpg,0.0,Nketiah,1.1,False,,a,1,3,25,0,0,0,0,0.0,4.2,Nketiah,628,2,0,3,9,0,0,0,0,1,0,1,66,90.4,67.0,210.0,36.4,315,38,261,41,163,42,283,41
22,,,209289,0,0,0,0,0,3,0.0,,0,Emile,0.0,23,False,,,45,209289.jpg,0.0,Smith Rowe,0.7,False,,a,1,3,4,0,0,0,0,0.0,0.9,Smith Rowe,96,0,0,1,0,0,0,0,0,0,0,0,13,9.8,6.3,0.0,1.6,363,152,335,154,406,163,367,154
23,,,223340,0,0,0,0,0,3,0.0,,0,Bukayo,0.0,24,False,,,55,223340.jpg,0.0,Saka,4.8,False,,a,1,3,71,0,0,0,0,0.0,12.9,Saka,1746,1,6,7,18,0,0,0,6,0,0,4,259,327.2,322.5,248.0,89.8,192,80,111,73,140,82,154,83
24,,,242166,0,0,0,0,0,3,0.0,,0,Matteo,0.0,25,False,,,50,242166.jpg,0.0,Guendouzi,0.2,False,,a,1,3,48,0,0,0,0,0.0,9.6,Guendouzi,1744,0,2,3,31,0,0,0,6,0,0,2,272,333.6,235.1,146.0,71.6,187,78,151,98,203,107,190,96
25,0.0,,444145,0,0,0,0,0,3,0.0,,0,Gabriel Teodoro,0.0,26,False,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,50,444145.jpg,0.0,Martinelli Silva,0.2,False,,i,1,3,39,0,0,0,0,0.0,7.8,Martinelli,656,3,1,2,9,0,0,0,1,0,0,5,129,162.8,36.6,226.0,42.5,280,121,294,145,150,84,271,124
26,,,462424,0,0,0,0,0,2,0.0,,0,William,0.0,27,False,,,45,462424.jpg,0.0,Saliba,5.1,False,,a,1,3,0,0,0,0,0,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,435,169,426,169,420,167,435,169
27,,,47431,0,0,0,0,0,3,0.0,,0,Willian,0.0,478,False,,,80,47431.jpg,0.0,Borges Da Silva,5.5,False,,a,1,3,168,0,0,0,0,0.0,21.0,Willian,2595,9,9,10,35,0,0,0,4,0,0,26,698,834.8,1177.7,930.0,294.6,23,8,6,5,28,13,8,5
28,0.0,,21205,0,0,0,0,0,1,0.0,,0,Tom,0.0,28,False,Knee injury - Unknown return date,2020-08-15T10:00:11.430596Z,45,21205.jpg,0.0,Heaton,0.2,False,,i,2,7,59,0,0,0,0,0.0,13.1,Heaton,1794,0,0,4,35,1,0,0,0,0,67,3,346,507.4,0.3,0.0,50.7,114,15,354,9,357,13,254,16
29,,,37339,0,0,0,0,0,2,0.0,,0,Ahmed,0.0,29,False,,,45,37339.jpg,0.0,El Mohamady,0.7,False,,a,2,7,39,0,0,0,0,0.0,8.7,El Mohamady,1024,1,1,2,28,0,0,0,1,0,0,7,224,254.6,324.1,67.0,64.6,228,89,109,24,266,90,214,66
30,,,40564,0,0,0,0,0,3,0.0,,0,Henri,0.0,30,False,,,45,40564.jpg,0.0,Lansbury,0.2,False,,a,2,7,12,0,0,0,0,0.0,2.7,Lansbury,190,0,0,0,6,0,0,0,0,0,0,0,37,13.4,27.2,13.0,5.5,359,151,310,149,315,148,350,150
31,,,47390,0,0,0,0,0,2,0.0,,0,Neil,0.0,31,False,,,45,47390.jpg,0.0,Taylor,0.7,False,,a,2,7,22,0,0,0,0,0.0,4.9,Taylor,1088,0,0,2,25,0,0,0,2,0,0,0,163,157.6,79.7,29.0,26.7,282,107,243,77,296,107,298,105
32,,,79852,0,0,0,0,0,1,0.0,,0,Jed,0.0,32,False,,,40,79852.jpg,0.0,Steer,4.4,False,,a,2,7,1,0,0,0,0,0.0,0.2,Steer,7,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,380,32,360,13,340,7,380,32
33,,,85242,0,0,0,0,0,3,0.0,,0,Conor,0.0,33,False,,,60,85242.jpg,0.0,Hourihane,0.1,False,,a,2,7,83,0,0,0,0,0.0,13.8,Hourihane,1526,3,5,6,29,0,0,0,4,0,0,9,328,384.8,551.8,317.0,125.3,166,69,39,32,111,61,91,54
34,,,89274,0,0,0,0,0,3,0.0,,0,José Ignacio,0.0,34,False,,,60,89274.jpg,0.0,Peleteiro Romallo,0.1,False,,a,2,7,17,0,0,0,0,0.0,2.8,Jota,329,0,1,2,5,0,0,0,0,0,0,0,48,47.0,56.9,73.0,17.3,337,142,274,139,264,130,321,139
35,,,98770,0,0,0,0,0,1,0.0,,0,Ørjan,0.0,35,False,,,40,98770.jpg,0.0,Nyland,17.3,False,,a,2,7,15,0,0,0,0,0.0,3.8,Nyland,537,0,0,1,12,0,0,0,0,0,15,0,90,101.2,0.0,0.0,10.2,311,25,362,14,342,8,338,25
36,,,108156,0,0,0,0,0,2,0.0,,0,Bjorn,0.0,36,False,,,45,108156.jpg,0.0,Engels,0.4,False,,a,2,7,42,0,0,0,0,0.0,9.3,Engels,1446,1,0,3,32,0,0,0,1,0,0,4,252,329.6,31.9,81.0,44.5,191,74,298,107,252,81,266,90
37,,,114283,0,0,0,0,0,3,0.0,,0,Jack,0.0,37,False,,,70,114283.jpg,0.0,Grealish,13.0,False,,a,2,7,149,0,0,0,0,0.0,21.3,Grealish,3233,8,7,7,63,0,0,1,8,0,0,19,601,826.6,1209.2,837.0,287.0,25,9,4,3,33,16,10,6
38,,,122806,0,0,0,0,0,3,0.0,,0,John,0.0,38,False,,,55,122806.jpg,0.0,McGinn,0.9,False,,a,2,7,84,0,0,0,0,0.0,15.3,McGinn,2312,3,3,6,41,0,0,0,3,0,0,4,321,458.6,503.3,499.0,145.9,129,49,48,37,66,35,65,39
39,,,123354,0,0,0,0,0,2,0.0,,0,Kortney,0.0,39,False,,,45,123354.jpg,0.0,Hause,0.1,False,,a,2,7,34,0,0,0,0,0.0,7.6,Hause,1544,1,0,2,34,0,0,0,3,0,0,0,204,352.8,33.0,248.0,63.4,178,66,297,106,139,23,216,68
40,,,148508,0,0,0,0,0,3,0.0,,0,Mahmoud Ahmed,0.0,40,False,,,55,148508.jpg,0.0,Ibrahim Hassan,2.3,False,,a,2,7,98,0,0,0,0,0.0,17.8,Trézéguet,1936,6,2,6,29,0,0,0,2,1,0,7,270,422.4,303.7,741.0,145.7,152,60,115,75,40,21,66,40
41,,,149484,0,0,0,0,0,2,0.0,,0,Tyrone,0.0,41,False,,,50,149484.jpg,0.0,Mings,1.5,False,,a,2,7,90,0,0,0,0,0.0,18.0,Mings,2902,2,2,6,53,0,0,0,7,0,0,9,537,758.0,87.3,119.0,96.6,32,9,235,71,219,61,141,37
42,,,169359,0,0,0,0,0,2,0.0,,0,Matt,0.0,42,False,,,45,169359.jpg,0.0,Targett,2.1,False,,a,2,7,80,0,0,0,0,0.0,17.8,Targett,2291,1,3,5,40,0,0,0,4,0,0,10,433,503.8,432.9,130.0,106.9,115,44,75,14,209,56,121,30
43,,,184386,0,0,0,0,0,2,0.0,,0,James,0.0,43,False,,,45,184386.jpg,0.0,Bree,0.1,False,,a,2,7,0,0,0,0,0,0.0,0.0,Bree,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,420,163,411,163,399,160,420,163
44,,,184704,0,0,0,0,0,3,0.0,,0,Marvelous,0.0,44,False,,,45,184704.jpg,0.0,Nakamba,0.8,False,,a,2,7,43,0,0,0,0,0.0,9.6,Nakamba,1826,0,0,1,37,0,0,0,5,0,0,0,273,292.2,162.9,24.0,47.9,208,87,189,116,302,145,260,120
45,,,193488,0,0,0,0,0,3,0.0,,0,Anwar,0.0,45,False,,,60,193488.jpg,0.0,El Ghazi,0.2,False,,a,2,7,93,0,0,0,0,0.0,15.5,El Ghazi,2046,4,5,5,48,0,0,0,3,0,0,0,281,383.2,482.2,655.0,152.0,168,70,53,41,44,24,57,33
46,,,199798,0,0,0,0,0,2,0.0,,0,Ezri,0.0,46,False,,,45,199798.jpg,0.0,Konsa Ngoyo,0.4,False,,a,2,7,65,0,0,0,0,0.0,14.4,Konsa,2038,1,2,5,39,0,0,0,3,0,0,4,335,400.6,151.8,173.0,72.8,161,58,198,50,189,46,186,53
47,,,203368,0,0,0,0,0,2,0.0,,0,Frédéric,0.0,47,False,,,45,203368.jpg,0.0,Guilbert,0.3,False,,a,2,7,62,0,0,0,0,0.0,13.8,Guilbert,2038,0,2,6,36,0,0,0,7,0,0,4,342,451.2,241.5,77.0,77.2,133,48,147,32,258,86,176,49
48,0.0,,213345,0,0,0,0,0,4,0.0,,0,Wesley,0.0,48,False,Knee injury - Unknown return date,2020-08-15T10:00:11.458856Z,60,213345.jpg,0.0,Moraes,0.0,False,,i,2,7,67,0,0,0,0,0.0,11.2,Wesley,1782,5,1,6,31,0,0,1,3,0,0,7,180,296.2,169.8,632.0,108.3,205,24,184,26,47,22,115,24
49,,,217487,0,0,0,0,0,4,0.0,,0,Mbwana,0.0,49,False,,,60,217487.jpg,0.0,Samatta,0.1,False,,a,2,7,29,0,0,0,0,0.0,4.8,Samatta,940,1,0,4,18,0,0,0,1,0,0,2,74,67.6,131.5,245.0,44.2,326,42,208,32,142,36,268,38
50,,,221239,0,0,0,0,0,4,0.0,,0,Keinan,0.0,50,False,,,45,221239.jpg,0.0,Davis,19.9,False,,a,2,7,25,0,0,0,0,0.0,5.6,Davis,534,0,1,1,7,0,0,0,0,0,0,0,43,27.8,71.7,212.0,29.9,349,46,254,40,157,40,294,43
51,,,223349,0,0,0,0,0,4,0.0,,0,Indiana,0.0,51,False,,,45,223349.jpg,0.0,Vassilev,1.5,False,,a,2,7,4,0,0,0,0,0.0,0.9,Vassilev,47,0,0,0,1,0,0,0,0,0,0,0,8,1.2,1.6,7.0,0.9,375,50,349,50,321,50,371,50
52,,,230046,0,0,0,0,0,3,0.0,,0,Douglas Luiz,0.0,52,False,,,50,230046.jpg,0.0,Soares de Paulo,0.6,False,,a,2,7,90,0,0,0,0,0.0,18.0,Douglas Luiz,2604,3,2,8,51,0,0,0,8,0,0,5,411,508.6,293.2,377.0,118.0,113,40,122,80,87,46,100,59
53,,,20529,0,0,0,0,0,4,0.0,,0,Glenn,0.0,53,False,,,50,20529.jpg,0.0,Murray,1.8,False,,a,3,36,36,0,0,0,0,0.0,7.2,Murray,785,1,1,2,10,0,0,0,0,0,0,0,74,74.0,57.1,249.0,37.7,323,41,273,43,138,35,278,39
54,,,39155,0,0,0,0,0,3,0.0,,0,Adam,0.0,54,False,,,65,39155.jpg,0.0,Lallana,2.1,False,,a,3,36,27,0,0,0,0,0.0,4.2,Lallana,371,1,1,1,5,0,0,0,1,0,0,1,97,107.2,68.8,74.0,25.1,308,132,259,135,262,129,304,134
55,,,40845,0,0,0,0,0,3,0.0,,0,Dale,0.0,55,False,,,45,40845.jpg,0.0,Stephens,14.2,False,,a,3,36,63,0,0,0,0,0.0,14.0,Stephens,2525,0,1,6,42,0,0,0,8,0,0,1,406,438.6,292.8,90.0,82.2,140,54,123,81,245,122,171,90
56,,,50093,0,0,0,0,0,1,0.0,,0,David,0.0,56,False,,,40,50093.jpg,0.0,Button,8.6,False,,a,3,36,0,0,0,0,0,0.0,0.0,Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,378,31,358,12,338,6,378,31
57,,,60307,0,0,0,0,0,3,0.0,,0,Pascal,0.0,57,False,,,60,60307.jpg,0.0,Groß,0.2,False,,a,3,36,76,0,0,0,0,0.0,12.7,Groß,1791,2,5,3,32,1,0,0,4,0,0,7,326,388.2,908.5,323.0,161.6,165,68,11,8,108,59,50,29
58,,,61933,0,0,0,0,0,2,0.0,,0,Shane,0.0,58,False,,,45,61933.jpg,0.0,Duffy,1.1,False,,a,3,36,44,0,0,0,0,0.0,9.8,Duffy,1232,1,0,3,18,0,0,0,2,0,0,1,227,288.0,29.8,100.0,41.8,211,81,305,110,234,70,273,93
59,,,66242,0,0,0,0,0,3,0.0,,0,Davy,0.0,59,False,,,50,66242.jpg,0.0,Pröpper,0.1,False,,a,3,36,78,0,0,0,0,0.0,15.6,Pröpper,2826,1,2,6,46,1,0,0,4,0,0,2,441,522.2,434.1,271.0,122.5,109,38,73,53,128,73,94,56
60,,,74471,0,0,0,0,0,3,0.0,,0,Aaron,0.0,60,False,,,50,74471.jpg,0.0,Mooy,0.4,False,,a,3,36,80,0,0,0,0,0.0,16.0,Mooy,2079,2,2,6,33,0,0,0,1,1,0,9,337,436.6,614.9,291.0,134.0,142,55,28,22,120,67,76,44
61,,,78916,0,0,0,0,0,2,0.0,,0,Dan,0.0,61,False,,,45,78916.jpg,0.0,Burn,1.0,False,,a,3,36,86,0,0,0,0,0.0,19.1,Burn,2879,0,0,9,42,0,0,0,5,0,0,3,480,602.8,311.9,128.0,104.2,70,28,114,26,212,58,125,32
62,,,83299,0,0,0,0,0,2,0.0,,0,Lewis,0.0,62,False,,,50,83299.jpg,0.0,Dunk,11.5,False,,a,3,36,128,0,0,0,0,0.0,25.6,Dunk,3230,3,3,9,50,0,0,0,9,0,0,17,674,825.6,171.8,469.0,146.8,26,6,183,44,69,3,63,9
63,,,86153,0,0,0,0,0,2,0.0,,0,Martín,0.0,63,False,,,45,86153.jpg,0.0,Montoya,0.3,False,,a,3,36,62,0,0,0,0,0.0,13.8,Montoya,1892,0,1,6,32,0,0,0,5,0,0,3,313,337.4,338.0,177.0,85.5,185,71,105,22,185,43,161,44
64,,,93284,0,0,0,0,0,4,0.0,,0,Florin,0.0,64,False,,,50,93284.jpg,0.0,Andone,0.3,False,,a,3,36,5,0,0,0,0,0.0,1.0,Andone,71,1,0,0,2,0,0,0,0,1,0,1,20,45.0,11.3,21.0,7.6,340,45,328,49,305,48,343,47
65,,,109345,0,0,0,0,0,3,0.0,,0,Solomon,0.0,65,False,,,50,109345.jpg,0.0,March,0.0,False,,a,3,36,38,0,0,0,0,0.0,7.6,March,1139,0,1,4,15,0,0,0,2,0,0,3,129,189.4,239.6,274.0,70.4,268,116,149,96,126,72,195,98
66,,,110735,0,0,0,0,0,2,0.0,,0,Adam,0.0,66,False,,,45,110735.jpg,0.0,Webster,3.3,False,,a,3,36,88,0,0,0,0,0.0,19.6,Webster,2668,3,1,5,44,1,0,0,4,0,0,7,514,696.6,153.2,221.0,107.3,50,19,196,48,154,31,119,29
67,,,111478,0,0,0,0,0,2,0.0,,0,Joël,0.0,67,False,,,45,111478.jpg,0.0,Veltman,0.5,False,,a,3,36,0,0,0,0,0,0.0,0.0,Veltman,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,410,158,400,158,387,154,410,158
68,,,115382,0,0,0,0,0,4,0.0,,0,Neal,0.0,68,False,,,65,115382.jpg,0.0,Maupay,2.6,False,,a,3,36,131,0,0,0,0,0.0,20.2,Maupay,2763,10,3,8,36,0,0,1,3,0,0,21,361,518.6,369.2,1519.0,240.5,110,16,96,12,7,5,22,8
69,,,116216,0,0,0,0,0,3,0.0,,0,Leandro,0.0,69,False,,,60,116216.jpg,0.0,Trossard,0.6,False,,a,3,36,104,0,0,0,0,0.0,17.3,Trossard,2004,5,5,4,34,0,0,0,0,0,0,9,352,411.4,585.4,540.0,153.2,158,65,34,28,58,31,56,32
70,,,131897,0,0,0,0,0,1,0.0,,0,Mathew,0.0,70,False,,,45,131897.jpg,0.0,Ryan,28.3,False,,a,3,36,135,0,0,0,0,0.0,30.0,Ryan,3420,0,0,9,54,0,0,0,0,0,117,14,754,1000.0,0.0,0.0,100.1,9,2,402,32,389,29,132,2
71,,,165210,0,0,0,0,0,3,0.0,,0,Alireza,0.0,71,False,,,55,165210.jpg,0.0,Jahanbakhsh,0.1,False,,a,3,36,28,0,0,0,0,0.0,5.1,Jahanbakhsh,305,2,1,1,4,0,0,0,0,0,0,2,90,90.6,62.5,106.0,25.9,314,134,268,137,226,116,300,132
72,0.0,,167473,0,0,0,0,0,3,0.0,,0,José,0.0,72,False,Knee injury - Unknown return date,2020-08-15T10:00:11.482611Z,55,167473.jpg,0.0,Izquierdo,0.0,False,,i,3,36,0,0,0,0,0,0.0,0.0,Izquierdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,472,194,472,194,470,194,472,194
73,,,178173,0,0,0,0,0,2,0.0,,0,Matthew,0.0,73,False,,,45,178173.jpg,0.0,Clarke,0.1,False,,a,3,36,0,0,0,0,0,0.0,0.0,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,419,162,410,162,397,158,419,162
74,,,198869,0,0,0,0,0,2,0.0,,0,Ben,0.0,74,False,,,45,198869.jpg,0.0,White,2.8,False,,a,3,36,0,0,0,0,0,0.0,0.0,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,423,164,414,164,402,161,423,164
75,,,209362,0,0,0,0,0,2,0.0,,0,Bernardo,0.0,75,False,,,40,209362.jpg,0.0,Fernandes da Silva Junior,9.9,False,,a,3,36,21,0,0,0,0,0.0,5.2,Bernardo,675,0,0,1,17,0,0,0,1,0,0,3,121,154.0,72.6,92.0,31.9,284,108,253,82,243,77,291,103
76,,,227127,0,0,0,0,0,3,0.0,,0,Yves,0.0,76,False,,,45,227127.jpg,0.0,Bissouma,1.6,False,,a,3,36,39,0,0,0,0,0.0,8.7,Bissouma,1253,1,0,4,18,0,0,0,4,0,0,0,207,238.8,110.6,101.0,45.1,239,101,218,124,233,119,265,121
77,,,232792,0,0,0,0,0,2,0.0,,0,Tariq,0.0,77,False,,,45,232792.jpg,0.0,Lamptey,4.0,False,,a,3,36,26,0,0,0,0,0.0,5.8,Lamptey,619,0,1,3,8,0,0,0,2,0,0,0,136,91.8,82.1,27.0,20.2,313,118,240,74,298,108,317,115
78,,,233425,0,0,0,0,0,4,0.0,,0,Aaron,0.0,78,False,,,55,233425.jpg,0.0,Connolly,0.7,False,,a,3,36,61,0,0,0,0,0.0,11.1,Connolly,1250,3,3,5,22,0,0,0,0,0,0,5,146,150.6,91.4,530.0,76.0,288,35,234,36,60,27,180,29
79,,,235382,0,0,0,0,0,3,0.0,,0,Steven,0.0,79,False,,,45,235382.jpg,0.0,Alzate,0.3,False,,a,3,36,33,0,0,0,0,0.0,7.3,Alzate,1181,0,0,3,18,0,0,0,1,0,0,0,183,202.0,214.1,205.0,62.3,260,113,162,106,166,90,221,106
80,,,243016,0,0,0,0,0,3,0.0,,0,Alexis,0.0,80,False,,,55,243016.jpg,0.0,Mac Allister,0.1,False,,a,3,36,12,0,0,0,0,0.0,2.2,Mac Allister,348,0,0,0,6,0,0,0,0,0,0,0,35,28.4,73.8,66.0,16.9,346,146,248,130,268,132,323,140
81,,,17761,0,0,0,0,0,2,0.0,,0,James,0.0,81,False,,,55,17761.jpg,0.0,Tarkowski,9.8,False,,a,4,90,143,0,0,0,0,0.0,26.0,Tarkowski,3420,2,3,15,50,0,0,0,10,0,0,14,690,919.8,167.1,410.0,149.9,12,3,185,45,83,9,60,8
82,,,17997,0,0,0,0,0,2,0.0,,0,Phil,0.0,82,False,,,45,17997.jpg,0.0,Bardsley,1.4,False,,a,4,90,78,0,0,0,0,0.0,17.3,Bardsley,1890,0,2,9,19,0,0,0,6,0,0,6,358,350.6,164.0,109.0,62.5,179,67,187,46,224,65,219,70
83,,,39487,0,0,0,0,0,2,0.0,,0,Erik,0.0,83,False,,,45,39487.jpg,0.0,Pieters,6.4,False,,a,4,90,77,0,0,0,0,0.0,17.1,Pieters,1876,0,5,6,35,0,0,0,2,0,0,10,359,355.4,273.8,90.0,71.6,176,64,132,29,244,78,189,55
